error,label,cov_raw_mean,cov_raw_std,width_raw_mean,width_raw_std,cov_adj_mean,cov_adj_std,width_adj_mean,width_adj_std
0,Exact,0.9963,0.0022,3.0717,0.089,0.998,0.0014,3.6533,0.0736
1,±1,0.9678,0.0146,3.1128,0.0868,0.999,0.0008,3.6989,0.07
2,±2,0.7875,0.0335,3.2464,0.0939,0.9947,0.0088,3.801,0.0597
3,±3,0.3431,0.0387,3.2422,0.088,0.863,0.0457,3.7447,0.068
4,±4,0.3025,0.0797,3.2054,0.1167,0.6744,0.1057,3.6397,0.0959
