method,cov_raw,width_raw,cov_adj,width_adj
CQR,0.997306750612102,3.981157433304697,1.0,4.0
CHR,0.8962924099335432,3.1642217558586916,0.9759356418328086,3.618502973067506
R2CCP,0.89136061559986,3.133005972057007,0.9812172088142708,3.7021336131514517
BoostedLCP,0.8749213011542498,3.2350910128988746,0.9874081846799581,3.7538649877579573
