judge,protocol,cov_raw_mean,cov_raw_std,w_raw_mean,w_raw_std,cov_adj_mean,cov_adj_std,w_adj_mean,w_adj_std
Gemini,A_internal_split,0.8963273871983211,0.012155906544062439,2.85654366037236,0.08995084569031792,0.9807974816369359,0.003019906423395732,3.421441063308849,0.05662055886305917
Gemini,B_external_split,0.8973417278768799,0.011541025175714878,2.8865355997620954,0.06747799223039175,0.980517663518713,0.0039642614616338745,3.434452605806226,0.05235915975333608
LLaVA-Critic,A_internal_split,0.893039524309199,0.014059526252888041,3.0148486704874724,0.10360645374602453,0.9782441413081496,0.0050060817757068875,3.5547394193774045,0.08710969800726671
LLaVA-Critic,B_external_split,0.8936691150752012,0.014719108313988632,3.040796821919635,0.09475585252040922,0.9783490731024834,0.006307663727011962,3.5739769150052467,0.07809813966352899
Phi-4,A_internal_split,0.8926547743966422,0.008736462214564006,3.147443577104117,0.05312999132032817,0.9819167541098286,0.004891400925511718,3.7040573627142357,0.0409791493912652
Phi-4,B_external_split,0.8898216159496327,0.012201446148491201,3.1454153616889533,0.07554954710467539,0.9807625043721581,0.006153966757792567,3.6908709338929695,0.05742992789108963
