gt_score,total,pred_1,pred_1_pct,pred_2,pred_2_pct,pred_3,pred_3_pct,pred_4,pred_4_pct,pred_5,pred_5_pct,within_1_accuracy
1,5513,5491,99.6,7,0.13,10,0.18,5,0.09,0,0.0,0.9973
2,124,92,74.19,16,12.9,7,5.65,6,4.84,3,2.42,0.9274
3,1070,199,18.6,143,13.36,343,32.06,329,30.75,56,5.23,0.7617
4,1765,29,1.64,70,3.97,257,14.56,1133,64.19,276,15.64,0.9439
5,252,2,0.79,5,1.98,14,5.56,161,63.89,70,27.78,0.9167
