judge,method,protocol,cov_raw_mean,cov_raw_std,w_raw_mean,w_raw_std,cov_adj_mean,cov_adj_std,w_adj_mean,w_adj_std
Gemini,CHR,A_paper_protocol,0.8627841902763205,0.012845172636747263,2.715148653375306,0.066885179393934,0.9622245540398741,0.006213320552395562,3.240958377054914,0.10214325540114244
Gemini,CHR,B_external_split,0.9064707939839105,0.012938121288080508,3.195445960125918,0.14130798982302606,0.9823015040223855,0.003778695935446834,3.6359566281916758,0.10658572437086153
Gemini,CQR,A_internal_split,0.9967820916404337,0.006674866213125846,3.963099965801883,0.0763978774812412,1.0,0.0,4.0,0.0
Gemini,CQR,B_external_split,0.9767750961874782,0.013093732308567257,3.6492818007752974,0.20058891712382962,0.9992305001748865,0.0024333721064604408,3.9756208464498073,0.07672531424326334
LLaVA-Critic,CHR,A_paper_protocol,0.8571528506470795,0.010906327706056802,2.872168590416229,0.06408329391827812,0.957327736970969,0.005995084590034915,3.3445960125918157,0.06530417593386387
LLaVA-Critic,CHR,B_external_split,0.8999300454704443,0.014470849662158992,3.2935152151101783,0.13053208551244452,0.9790835956628191,0.0051874426990553505,3.6904861839804126,0.08567001739563257
LLaVA-Critic,CQR,A_internal_split,0.996362364463099,0.004908462310246801,3.9509761397282674,0.06380016623870764,1.0,0.0,4.0,0.0
LLaVA-Critic,CQR,B_external_split,0.9702693249387899,0.011367461576342395,3.596376956286336,0.16863331490784447,0.9997551591465548,0.00046781864632711796,3.992934592514865,0.017889616274748676
Phi-4,CHR,A_paper_protocol,0.8824763903462749,0.012037691033359285,3.1247778943686604,0.06334952747098078,0.969185029730675,0.0062903995700274795,3.5805176635187133,0.07706226064533032
Phi-4,CHR,B_external_split,0.9019237495627841,0.015921551206205253,3.331808324589017,0.12457050502429765,0.9783840503672613,0.006879454882438417,3.7355718782791185,0.07974884550871131
Phi-4,CQR,A_internal_split,0.997306750612102,0.003214400272257029,3.981157433304697,0.03088827634181346,1.0,0.0,4.0,0.0
Phi-4,CQR,B_external_split,0.9928646379853096,0.00930275430209879,3.9053387966148967,0.1335441103024069,0.9999650227352221,0.00011060782302092259,3.999930045470444,0.0002212156460419271
