method,overall_coverage,overall_width,easy_coverage,easy_width,medium_coverage,medium_width,hard_coverage,hard_width
Standard,0.981,3.6002,0.9903,3.5532,0.9909,3.5961,0.9666,3.6333
Mondrian,0.9819,3.471,0.975,2.964,0.9865,3.4857,0.9823,3.7791
