gt_score,total,pred_1,pred_1_pct,pred_2,pred_2_pct,pred_3,pred_3_pct,pred_4,pred_4_pct,pred_5,pred_5_pct,within_1_accuracy
1,641,209,32.61,83,12.95,109,17.0,150,23.4,90,14.04,0.4555
2,707,120,16.97,83,11.74,155,21.92,228,32.25,121,17.11,0.5064
3,1263,66,5.23,88,6.97,235,18.61,531,42.04,343,27.16,0.6762
4,1791,59,3.29,65,3.63,240,13.4,697,38.92,730,40.76,0.9308
5,1314,25,1.9,29,2.21,141,10.73,505,38.43,614,46.73,0.8516
