judge,selector,aurc,aurc_oracle,aurc_random,e_aurc,improvement_over_random,risk_at_10pct,risk_at_25pct,risk_at_50pct,risk_at_75pct,baseline_mae,n
Gemini,cp_width,0.948032813407647,0.37124526813705927,1.122426291752221,0.5767875452705877,0.17439347834457397,0.7616364841420836,0.863745353537655,0.9535438546336783,1.0243687774937487,1.1253837334023746,27037
Gemini,judge_margin,1.0797548109646486,0.37124526813705927,1.122426291752221,0.7085095428275894,0.042671480787572325,1.1640224268538437,1.0097171757141041,1.0254848123661335,1.0701754156200418,1.1253837334023746,27037
Gemini,judge_entropy,1.1294531753329191,0.37124526813705927,1.122426291752221,0.7582079071958598,-0.00702688358069814,1.145493536666656,1.1902032228653243,1.064260937658971,1.094294372674309,1.1253837334023746,27037
LLaVA-Critic,cp_width,0.992524301931753,0.3502619514593626,1.0321919356373195,0.6422623504723903,0.039667633705566474,0.8930530080801071,0.9792092547265902,1.0143805150292817,1.0176878445110533,1.0329216667249763,28583
LLaVA-Critic,judge_margin,0.9475885338426688,0.3502619514593626,1.0321919356373195,0.5973265823833063,0.08460340179465065,0.8142017732331708,0.8937131488190134,0.9588844476702378,1.0199340205849696,1.0329216667249763,28583
LLaVA-Critic,judge_entropy,0.9479765493929644,0.3502619514593626,1.0321919356373195,0.5977145979336018,0.0842153862443551,0.8089730744786325,0.8957697209958235,0.962288106029686,1.0178384244238452,1.0329216667249763,28583
Phi-4,cp_width,0.9261751413891645,0.3238268896533871,1.0009538611611681,0.6023482517357774,0.07477871977200368,0.8584755199055337,0.8784901622879381,0.9164386021486013,0.9417441588339125,1.0039258682888874,28274
Phi-4,judge_margin,0.990969682815496,0.3238268896533871,1.0009538611611681,0.667142793162109,0.009984178345672112,0.9849433569443967,0.9327560242980772,0.9576539939336529,0.9869506927391591,1.0039258682888874,28274
Phi-4,judge_entropy,0.9952625889111779,0.3238268896533871,1.0009538611611681,0.6714356992577908,0.00569127224999022,0.9966427907030642,0.9334216074726488,0.957838815102699,0.9862030067375924,1.0039258682888874,28274
POOLED,cp_width,0.96282536803606,0.34739521445613347,1.0527144915382762,0.6154301535799265,0.08988912350221623,0.8429513390017361,0.9280783916001847,0.9789019946071441,1.0030351765124186,1.052947767420793,83894
POOLED,judge_margin,1.0499756460820717,0.34739521445613347,1.0527144915382762,0.7025804316259383,0.0027388454562045084,1.0091730316887637,1.0504568719910115,1.022965721001957,1.0331792354509415,1.052947767420793,83894
POOLED,judge_entropy,1.06879734860575,0.34739521445613347,1.0527144915382762,0.7214021341496166,-0.01608285706747381,1.1821356693730936,1.0925815978958395,1.029982629156933,1.0365324227618844,1.052947767420793,83894
