gt_score,total,pred_1,pred_1_pct,pred_2,pred_2_pct,pred_3,pred_3_pct,pred_4,pred_4_pct,pred_5,pred_5_pct,within_1_accuracy
1,621,383,61.67,96,15.46,40,6.44,32,5.15,70,11.27,0.7713
2,669,259,38.71,165,24.66,62,9.27,66,9.87,117,17.49,0.7265
3,1184,209,17.65,252,21.28,142,11.99,223,18.83,358,30.24,0.5211
4,1685,175,10.39,230,13.65,151,8.96,252,14.96,877,52.05,0.7596
5,1250,99,7.92,129,10.32,84,6.72,142,11.36,796,63.68,0.7504
