method,cov_raw,width_raw,cov_adj,width_adj
CQR,0.9968,3.9631,1.0,4.0
R2CCP,0.8983,2.8526,0.9799,3.4133
CHR,0.8806225953130464,2.801969220006995,0.9722980062959076,3.3205666316894025
BoostedLCP,0.8705841203217908,2.8833410777066173,0.9825113676110527,3.4373557187827912
