error,label,cov_raw_mean,cov_raw_std,width_raw_mean,width_raw_std,cov_adj_mean,cov_adj_std,width_adj_mean,width_adj_std
0,Exact,0.9794,0.0104,2.7126,0.0978,0.9979,0.0014,3.2804,0.06
1,±1,0.9615,0.0115,2.8244,0.1027,0.9982,0.0024,3.3692,0.0564
2,±2,0.8808,0.0227,2.9541,0.1159,0.9901,0.0111,3.498,0.0642
3,±3,0.5373,0.0779,3.0778,0.1325,0.9621,0.0134,3.6143,0.0605
4,±4,0.5508,0.0381,3.0311,0.15,0.6878,0.0431,3.6199,0.1353
