seed,arm,cov_raw,width_raw,cov_adj,width_adj,elapsed_sec
1,multi_annotator,0.9147375658950263,0.8280240959621694,0.9887691955076782,1.5200550080220032,52.46808099746704
1,single_annotator,0.906257162502865,1.0610340113162229,0.9796011918404768,1.612422644969058,51.245882987976074
2,multi_annotator,0.9184047673619069,0.8495321373258631,0.9896859958743983,1.5475590190236077,54.86569046974182
2,single_annotator,0.9126747650699061,1.0479259565831214,0.9773091909236764,1.6619298647719458,51.907716512680054
3,multi_annotator,0.9080907632363053,0.8531952951852264,0.9894567957827183,1.5049278019711207,53.0609176158905
3,single_annotator,0.9083199633279854,0.9704922679747678,0.9766215906486363,1.574375429750172,50.71241497993469
4,multi_annotator,0.9085491634196654,0.7161683346901141,0.9869355947742379,1.4934677973871189,48.05101776123047
4,single_annotator,0.9115287646115059,0.9809044844891647,0.9821223928489572,1.6477194590877837,47.517534255981445
5,multi_annotator,0.8943387577355031,0.7239433253764996,0.9885399954159981,1.4707769883107953,49.011460304260254
5,single_annotator,0.9080907632363053,1.0168551231725702,0.9752463900985561,1.5897318358927344,55.57853674888611
6,multi_annotator,0.8931927572771029,0.6684667046343873,0.9860187944075177,1.4483153793261516,55.29662728309631
6,single_annotator,0.9048819619527848,1.0450976085367756,0.9786843914737566,1.6268622507449002,49.38177990913391
7,multi_annotator,0.9053403621361449,0.838815647228415,0.9862479944991978,1.5085950034380013,47.283923625946045
7,single_annotator,0.8890671556268622,0.9556519306501117,0.9743295897318359,1.5718542287416915,47.48833727836609
8,multi_annotator,0.905798762319505,0.673983889655621,0.9857895943158377,1.4728397891359157,47.36082887649536
8,single_annotator,0.8892963557185423,0.8499618229340338,0.974558789823516,1.549621819848728,51.936731815338135
9,multi_annotator,0.8986935594774238,0.6205072213880464,0.9848727939491175,1.450378180151272,55.52735185623169
9,single_annotator,0.912445564978226,1.033753629072855,0.9802887921155169,1.612422644969058,50.05520439147949
10,multi_annotator,0.8679807471922989,0.3950229874177452,0.9814347925739171,1.381388952555581,54.9649817943573
10,single_annotator,0.9055695622278249,1.0492721513244994,0.981205592482237,1.6795782718313088,55.22914433479309
