judge,n,spearman_raw,spearman_raw_p,pearson_raw,pearson_raw_p,spearman_adj,spearman_adj_p,pearson_adj,pearson_adj_p
Gemini,27037,0.2060945701684861,3.702444862766242e-257,0.1980036231179806,3.955502565675151e-237,0.17878372863534084,5.295657908256703e-193,0.1744468554547074,1.0408651702889882e-183
LLaVA-Critic,28583,0.0673616775338619,4.1353590168442994e-30,0.045330036329098426,1.756108152387988e-14,0.05087258822683546,7.567128521765633e-18,0.029959355070642252,4.0627001859784963e-07
Phi-4,28274,0.11486001194239877,1.209863913396432e-83,0.10626518986858706,8.485109945052621e-72,0.08867385150375975,1.8323754717815484e-50,0.07416724997606151,8.704950958016382e-36
POOLED,83894,0.11516336330172648,1.4396139858247463e-245,0.10492401305034746,5.69792815544855e-204,0.09154607753044913,1.4597081102404902e-155,0.0795565119665785,7.463778766532638e-118
