judge,tau,accept_rate,exact_acc,pm1_acc,mae,cp_cov_raw
Gemini,all,1.0,0.3210785220253726,0.702777675037911,1.1253837334023746,0.8941080741206495
Gemini,0.50,0.0,,,,
Gemini,0.75,0.0,,,,
Gemini,1.00,0.0,,,,
Gemini,1.25,0.00044383622443318414,0.25,0.5,2.0833333333333335,0.5
Gemini,1.50,0.0025890446425269075,0.4714285714285714,0.7857142857142857,1.0285714285714285,0.8
Gemini,1.75,0.009838369641602248,0.575187969924812,0.8571428571428571,0.7180451127819549,0.868421052631579
Gemini,2.00,0.02160002958908163,0.5702054794520548,0.8664383561643836,0.6763698630136986,0.8664383561643836
Gemini,2.25,0.14221252357879943,0.4720416124837451,0.834850455136541,0.7838751625487647,0.9230169050715215
Gemini,2.50,0.3077634352923771,0.41773825261386854,0.7894483836077395,0.8992909506068982,0.9091455353923807
Gemini,2.75,0.49506232200318084,0.3862532685842361,0.7707134852446769,0.9516623085543519,0.8946581994770265
Gemini,3.00,0.6138254983910937,0.3693058568329718,0.7608459869848156,0.9808990118100747,0.8854543263436973
Gemini,3.25,0.7646188556422681,0.3506989793450394,0.7408697334687757,1.031490349731534,0.8903884293522952
Gemini,3.50,0.8763546251433221,0.33624546298641006,0.720435553304634,1.079513800962269,0.8904363974001857
Gemini,3.75,0.9304656581721344,0.32913304448066144,0.7132805978455301,1.0983821600349803,0.888619469730095
Gemini,4.00,1.0,0.3210785220253726,0.702777675037911,1.1253837334023746,0.8941080741206495
LLaVA-Critic,all,1.0,0.3226743169016548,0.751180771787426,1.0329216667249763,0.8930133296015114
LLaVA-Critic,0.50,0.0,,,,
LLaVA-Critic,0.75,0.00010495749221565265,0.3333333333333333,0.3333333333333333,2.0,0.3333333333333333
LLaVA-Critic,1.00,0.0002449008151698562,0.2857142857142857,0.2857142857142857,2.142857142857143,0.2857142857142857
LLaVA-Critic,1.25,0.0011895182451107302,0.5882352941176471,0.7352941176470589,0.9117647058823529,0.7352941176470589
