category,n,avg_width_raw,spearman,spearman_p,base_exact,base_pm1,base_mae,accept_2.0,exact_2.0,pm1_2.0,mae_2.0,accept_2.25,exact_2.25,pm1_2.25,mae_2.25,accept_2.5,exact_2.5,pm1_2.5,mae_2.5,accept_3.0,exact_3.0,pm1_3.0,mae_3.0
Aesthetics/AI,9845,2.9319337249347073,0.115432229268321,1.4745223698907927e-30,0.3325545962417471,0.7605891315388522,1.0004062976130015,0.012696800406297613,0.504,0.904,0.608,0.09446419502285425,0.4505376344086022,0.8978494623655914,0.6946236559139785,0.20944641950228543,0.39088263821532493,0.8598448108632396,0.7982541222114452,0.4979177247333672,0.3567931456548348,0.7970216238270094,0.9273765809873521
General VQA,21106,2.9602805827224943,0.11142469570967233,2.7476889061405455e-59,0.3419406803752487,0.7821472567042547,0.9570264379797214,0.010802615370036956,0.5263157894736842,0.8508771929824561,0.7456140350877193,0.08215673268264949,0.45213379469434833,0.845444059976932,0.776239907727797,0.18620297545721595,0.42366412213740456,0.8254452926208652,0.8274809160305343,0.47924760731545535,0.3818091942659417,0.8059317844784972,0.8875926841324765
Knowledge/Web,17629,3.033494290731303,0.07357539175960501,1.3521459569697337e-22,0.31658063418231325,0.7714561234329798,0.9782177094560099,0.006353168075330422,0.44642857142857145,0.8482142857142857,0.75,0.05037154688297691,0.38963963963963966,0.8434684684684685,0.8186936936936937,0.13352997901185545,0.3517417162276975,0.8143585386576041,0.8903993203058623,0.42118100856543195,0.32202020202020204,0.7950168350168351,0.9422222222222222
Vision-Heavy,35314,3.028694350262923,0.12190929035856732,5.325928578703282e-117,0.328113496063884,0.688707028374016,1.1622302769439883,0.021634479243359574,0.4895287958115183,0.7971204188481675,0.8442408376963351,0.08398935266466558,0.47403910991233983,0.7953472690492246,0.8701955495616993,0.20827433878914878,0.4322229775662814,0.7585316111488783,0.9717199184228416,0.43257631534235713,0.39120188531029065,0.7349437025399319,1.046150824823252
